,Date,Ratings,Titles,Reviews,cleaned_Reviews,Reviews_Token,Reviews_Lemm
29,18-Nov-19,VERY POSITIVE,Great food and service overall,strongly recommend vipiano tower bridge restaurant place right water front along walkway london bridge pasta pizza good decent price deserts good different moose flavors including tiramisu,strongli recommend vipiano tower bridg restaur place right water front along walkway london bridg pasta pizza good decent price desert good differ moos flavor includ tiramisu,"['strongly', 'recommend', 'vipiano', 'tower', 'bridge', 'restaurant', 'place', 'right', 'water', 'front', 'along', 'walkway', 'london', 'bridge', 'pasta', 'pizza', 'good', 'decent', 'price', 'deserts', 'good', 'different', 'moose', 'flavors', 'including', 'tiramisu']","['strongly', 'recommend', 'vipiano', 'tower', 'bridge', 'restaurant', 'place', 'right', 'water', 'front', 'along', 'walkway', 'london', 'bridge', 'pasta', 'pizza', 'good', 'decent', 'price', 'desert', 'good', 'different', 'moose', 'flavor', 'include', 'tiramisu']"
30,15-Nov-19,VERY POSITIVE,Amazing Views!!!,vapiano one faves london italian food love take live cooking normally go portland street one last night friend decided try tower bridge branch boy oh boy,vapiano one fave london italian food love take live cook normal go portland street one last night friend decid tri tower bridg branch boy oh boy,"['vapiano', 'one', 'faves', 'london', 'italian', 'food', 'love', 'take', 'live', 'cooking', 'normally', 'go', 'portland', 'street', 'one', 'last', 'night', 'friend', 'decided', 'try', 'tower', 'bridge', 'branch', 'boy', 'oh', 'boy']","['vapiano', 'one', 'faves', 'london', 'italian', 'food', 'love', 'take', 'live', 'cooking', 'normally', 'go', 'portland', 'street', 'one', 'last', 'night', 'friend', 'decide', 'try', 'tower', 'bridge', 'branch', 'boy', 'oh', 'boy']"
31,11-Nov-19,VERY POSITIVE,Delicious Pasta!,walk provide card chef bartenders add total pay end seat look menu head lines chefs make,walk provid card chef bartend add total pay end seat look menu head line chef make,"['walk', 'provide', 'card', 'chef', 'bartenders', 'add', 'total', 'pay', 'end', 'seat', 'look', 'menu', 'head', 'lines', 'chefs', 'make']","['walk', 'provide', 'card', 'chef', 'bartender', 'add', 'total', 'pay', 'end', 'seat', 'look', 'menu', 'head', 'line', 'chef', 'make']"
32,5-Nov-19,VERY POSITIVE,Excellet atmosphere,excellent atmosphere professional fun staff excellent service course food love recommend age group class,excel atmospher profession fun staff excel servic cours food love recommend age group class,"['excellent', 'atmosphere', 'professional', 'fun', 'staff', 'excellent', 'service', 'course', 'food', 'love', 'recommend', 'age', 'group', 'class']","['excellent', 'atmosphere', 'professional', 'fun', 'staff', 'excellent', 'service', 'course', 'food', 'love', 'recommend', 'age', 'group', 'class']"
33,3-Nov-19,NEUTRAL,Pasta on demand ,first time pasta extremely spicy ended giving boyfriend finish please make sure keep eye chef pouring chilli pasta valentino manager shift,first time pasta extrem spici end give boyfriend finish pleas make sure keep eye chef pour chilli pasta valentino manag shift,"['first', 'time', 'pasta', 'extremely', 'spicy', 'ended', 'giving', 'boyfriend', 'finish', 'please', 'make', 'sure', 'keep', 'eye', 'chef', 'pouring', 'chilli', 'pasta', 'valentino', 'manager', 'shift']","['first', 'time', 'pasta', 'extremely', 'spicy', 'end', 'give', 'boyfriend', 'finish', 'please', 'make', 'sure', 'keep', 'eye', 'chef', 'pour', 'chilli', 'pasta', 'valentino', 'manager', 'shift']"
34,15-Oct-19,NEUTRAL,Takeaway,okay ordered takeaway deliveroo arrived time although soonest hrs order steak pasta arrived bit cold almost flavour really greasy steak spinach mushroom garlic packed full,okay order takeaway deliveroo arriv time although soonest hr order steak pasta arriv bit cold almost flavour realli greasi steak spinach mushroom garlic pack full,"['okay', 'ordered', 'takeaway', 'deliveroo', 'arrived', 'time', 'although', 'soonest', 'hrs', 'order', 'steak', 'pasta', 'arrived', 'bit', 'cold', 'almost', 'flavour', 'really', 'greasy', 'steak', 'spinach', 'mushroom', 'garlic', 'packed', 'full']","['okay', 'order', 'takeaway', 'deliveroo', 'arrived', 'time', 'although', 'soonest', 'hr', 'order', 'steak', 'pasta', 'arrive', 'bit', 'cold', 'almost', 'flavour', 'really', 'greasy', 'steak', 'spinach', 'mushroom', 'garlic', 'pack', 'full']"
35,13-Oct-19,NEUTRAL,"Good Food, Terrible Hygiene",tables chairs messy food everywhere wiped properly menus also covered food employee actually walked restaurant clear bin bag full rubbish food scraps disgusting see toilets also horrible,tabl chair messi food everywher wipe properli menu also cover food employe actual walk restaur clear bin bag full rubbish food scrap disgust see toilet also horribl,"['tables', 'chairs', 'messy', 'food', 'everywhere', 'wiped', 'properly', 'menus', 'also', 'covered', 'food', 'employee', 'actually', 'walked', 'restaurant', 'clear', 'bin', 'bag', 'full', 'rubbish', 'food', 'scraps', 'disgusting', 'see', 'toilets', 'also', 'horrible']","['table', 'chair', 'messy', 'food', 'everywhere', 'wipe', 'properly', 'menu', 'also', 'cover', 'food', 'employee', 'actually', 'walk', 'restaurant', 'clear', 'bin', 'bag', 'full', 'rubbish', 'food', 'scrap', 'disgust', 'see', 'toilet', 'also', 'horrible']"
36,7-Oct-19,VERY POSITIVE,Great Fresh food,one hottest days year like oven food hot hot hot moretti beer bruschetta pizza freshest pasta around could fault second visit vapiano great,one hottest day year like oven food hot hot hot moretti beer bruschetta pizza freshest pasta around could fault second visit vapiano great,"['one', 'hottest', 'days', 'year', 'like', 'oven', 'food', 'hot', 'hot', 'hot', 'moretti', 'beer', 'bruschetta', 'pizza', 'freshest', 'pasta', 'around', 'could', 'fault', 'second', 'visit', 'vapiano', 'great']","['one', 'hot', 'day', 'year', 'like', 'oven', 'food', 'hot', 'hot', 'hot', 'moretti', 'beer', 'bruschetta', 'pizza', 'fresh', 'pasta', 'around', 'could', 'fault', 'second', 'visit', 'vapiano', 'great']"
37,6-Oct-19,POSITIVE,An interesting take on fast food,like cross traditional fast food full blown restaurant menu primarily pastas pizzas small selection salads unlike traditional fast food make food right front,like cross tradit fast food full blown restaur menu primarili pasta pizza small select salad unlik tradit fast food make food right front,"['like', 'cross', 'traditional', 'fast', 'food', 'full', 'blown', 'restaurant', 'menu', 'primarily', 'pastas', 'pizzas', 'small', 'selection', 'salads', 'unlike', 'traditional', 'fast', 'food', 'make', 'food', 'right', 'front']","['like', 'cross', 'traditional', 'fast', 'food', 'full', 'blown', 'restaurant', 'menu', 'primarily', 'pastas', 'pizzas', 'small', 'selection', 'salad', 'unlike', 'traditional', 'fast', 'food', 'make', 'food', 'right', 'front']"
38,4-Oct-19,VERY POSITIVE,Great food,extremely extremely busy wait long worth end great chefs amazing food noisy hear think sadly somewhere would go sit eat catch chat,extrem extrem busi wait long worth end great chef amaz food noisi hear think sadli somewher would go sit eat catch chat,"['extremely', 'extremely', 'busy', 'wait', 'long', 'worth', 'end', 'great', 'chefs', 'amazing', 'food', 'noisy', 'hear', 'think', 'sadly', 'somewhere', 'would', 'go', 'sit', 'eat', 'catch', 'chat']","['extremely', 'extremely', 'busy', 'wait', 'long', 'worth', 'end', 'great', 'chef', 'amaze', 'food', 'noisy', 'hear', 'think', 'sadly', 'somewhere', 'would', 'go', 'sit', 'eat', 'catch', 'chat']"
39,3-Oct-19,VERY POSITIVE,Great as always,love vapiano think best italian restaurant ever quality always good mot matter country people nice price amazing always trust eating well big quantities vapiano,love vapiano think best italian restaur ever qualiti alway good mot matter countri peopl nice price amaz alway trust eat well big quantiti vapiano,"['love', 'vapiano', 'think', 'best', 'italian', 'restaurant', 'ever', 'quality', 'always', 'good', 'mot', 'matter', 'country', 'people', 'nice', 'price', 'amazing', 'always', 'trust', 'eating', 'well', 'big', 'quantities', 'vapiano']","['love', 'vapiano', 'think', 'best', 'italian', 'restaurant', 'ever', 'quality', 'always', 'good', 'mot', 'matter', 'country', 'people', 'nice', 'price', 'amazing', 'always', 'trust', 'eat', 'well', 'big', 'quantity', 'vapiano']"
40,25-Sep-19,NEGATIVE,Nice concept but was a bit dissapointed,nice concept bit disappointed st charged extras cheese olives info menu chef say anything surcharge definitely need mention clearly list extras,nice concept bit disappoint st charg extra chees oliv info menu chef say anyth surcharg definit need mention clearli list extra,"['nice', 'concept', 'bit', 'disappointed', 'st', 'charged', 'extras', 'cheese', 'olives', 'info', 'menu', 'chef', 'say', 'anything', 'surcharge', 'definitely', 'need', 'mention', 'clearly', 'list', 'extras']","['nice', 'concept', 'bit', 'disappointed', 'st', 'charge', 'extra', 'cheese', 'olive', 'info', 'menu', 'chef', 'say', 'anything', 'surcharge', 'definitely', 'need', 'mention', 'clearly', 'list', 'extra']"
41,19-Sep-19,POSITIVE,"Delicious fresh food, but a bit pricey",family five came late lunch visiting tower london walking tower bridge service model bit different given card put food charges line,famili five came late lunch visit tower london walk tower bridg servic model bit differ given card put food charg line,"['family', 'five', 'came', 'late', 'lunch', 'visiting', 'tower', 'london', 'walking', 'tower', 'bridge', 'service', 'model', 'bit', 'different', 'given', 'card', 'put', 'food', 'charges', 'line']","['family', 'five', 'come', 'late', 'lunch', 'visit', 'tower', 'london', 'walk', 'tower', 'bridge', 'service', 'model', 'bit', 'different', 'give', 'card', 'put', 'food', 'charge', 'line']"
42,14-Sep-19,VERY POSITIVE,Great place for a quick meal before the theatre,popped going bridge theatre little surprised first self service fantastic concept select pasta sauce want watch someone cook front,pop go bridg theatr littl surpris first self servic fantast concept select pasta sauc want watch someon cook front,"['popped', 'going', 'bridge', 'theatre', 'little', 'surprised', 'first', 'self', 'service', 'fantastic', 'concept', 'select', 'pasta', 'sauce', 'want', 'watch', 'someone', 'cook', 'front']","['pop', 'go', 'bridge', 'theatre', 'little', 'surprise', 'first', 'self', 'service', 'fantastic', 'concept', 'select', 'pasta', 'sauce', 'want', 'watch', 'someone', 'cook', 'front']"
43,13-Sep-19,VERY NEGATIVE,Service please?,unable comment standard food since left served given restaurant service staff suppose surprised however prices one might expect pay proper restaurant,unabl comment standard food sinc left serv given restaur servic staff suppos surpris howev price one might expect pay proper restaur,"['unable', 'comment', 'standard', 'food', 'since', 'left', 'served', 'given', 'restaurant', 'service', 'staff', 'suppose', 'surprised', 'however', 'prices', 'one', 'might', 'expect', 'pay', 'proper', 'restaurant']","['unable', 'comment', 'standard', 'food', 'since', 'left', 'serve', 'give', 'restaurant', 'service', 'staff', 'suppose', 'surprise', 'however', 'price', 'one', 'might', 'expect', 'pay', 'proper', 'restaurant']"
44,8-Sep-19,NEUTRAL,"Fresh, tasty food. Great value. Ineffective queue system.",vapiano restaurants great pastas prepared front short amount time turn value money good get free bread olive oil balsamic vinegar often go,vapiano restaur great pasta prepar front short amount time turn valu money good get free bread oliv oil balsam vinegar often go,"['vapiano', 'restaurants', 'great', 'pastas', 'prepared', 'front', 'short', 'amount', 'time', 'turn', 'value', 'money', 'good', 'get', 'free', 'bread', 'olive', 'oil', 'balsamic', 'vinegar', 'often', 'go']","['vapiano', 'restaurant', 'great', 'pasta', 'prepare', 'front', 'short', 'amount', 'time', 'turn', 'value', 'money', 'good', 'get', 'free', 'bread', 'olive', 'oil', 'balsamic', 'vinegar', 'often', 'go']"
45,2-Sep-19,POSITIVE,"Consistent, Easy and Good Food",first vapiano experience stockholm always wanting go back vapiano location afternoon visit tower bridge pleasantly surprised walk past vapiano brainer lunch vapiano,first vapiano experi stockholm alway want go back vapiano locat afternoon visit tower bridg pleasantli surpris walk past vapiano brainer lunch vapiano,"['first', 'vapiano', 'experience', 'stockholm', 'always', 'wanting', 'go', 'back', 'vapiano', 'location', 'afternoon', 'visit', 'tower', 'bridge', 'pleasantly', 'surprised', 'walk', 'past', 'vapiano', 'brainer', 'lunch', 'vapiano']","['first', 'vapiano', 'experience', 'stockholm', 'always', 'want', 'go', 'back', 'vapiano', 'location', 'afternoon', 'visit', 'tower', 'bridge', 'pleasantly', 'surprise', 'walk', 'past', 'vapiano', 'brainer', 'lunch', 'vapiano']"
46,25-Aug-19,POSITIVE,Good food reasonably priced,ate lunch vapiano tower bridge friday th august every packed tried vapiano pleasantly surprised quality value food cooked front chefs tasted great,ate lunch vapiano tower bridg friday th august everi pack tri vapiano pleasantli surpris qualiti valu food cook front chef tast great,"['ate', 'lunch', 'vapiano', 'tower', 'bridge', 'friday', 'th', 'august', 'every', 'packed', 'tried', 'vapiano', 'pleasantly', 'surprised', 'quality', 'value', 'food', 'cooked', 'front', 'chefs', 'tasted', 'great']","['ate', 'lunch', 'vapiano', 'tower', 'bridge', 'friday', 'th', 'august', 'every', 'packed', 'try', 'vapiano', 'pleasantly', 'surprise', 'quality', 'value', 'food', 'cook', 'front', 'chef', 'taste', 'great']"
47,23-Aug-19,POSITIVE,Good and reliable,pizza pasta chain cantina style either wait pasta pretty much made front order pizza get buzzer pick done freshly made fresh products ok value quality good reliable,pizza pasta chain cantina style either wait pasta pretti much made front order pizza get buzzer pick done freshli made fresh product ok valu qualiti good reliabl,"['pizza', 'pasta', 'chain', 'cantina', 'style', 'either', 'wait', 'pasta', 'pretty', 'much', 'made', 'front', 'order', 'pizza', 'get', 'buzzer', 'pick', 'done', 'freshly', 'made', 'fresh', 'products', 'ok', 'value', 'quality', 'good', 'reliable']","['pizza', 'pasta', 'chain', 'cantina', 'style', 'either', 'wait', 'pasta', 'pretty', 'much', 'make', 'front', 'order', 'pizza', 'get', 'buzzer', 'pick', 'do', 'freshly', 'make', 'fresh', 'product', 'ok', 'value', 'quality', 'good', 'reliable']"
48,12-Aug-19,VERY NEGATIVE,"The worst service in London, avoid.",first time vapiano looks great staff arrogant assume know canteen service approach goes waited ages two pizzas worked person taking orders cooking garlic bread,first time vapiano look great staff arrog assum know canteen servic approach goe wait age two pizza work person take order cook garlic bread,"['first', 'time', 'vapiano', 'looks', 'great', 'staff', 'arrogant', 'assume', 'know', 'canteen', 'service', 'approach', 'goes', 'waited', 'ages', 'two', 'pizzas', 'worked', 'person', 'taking', 'orders', 'cooking', 'garlic', 'bread']","['first', 'time', 'vapiano', 'look', 'great', 'staff', 'arrogant', 'assume', 'know', 'canteen', 'service', 'approach', 'go', 'waited', 'age', 'two', 'pizza', 'work', 'person', 'take', 'order', 'cook', 'garlic', 'bread']"
49,10-Aug-19,POSITIVE,"Great Italian food, if a little pricey",second visit day sightseeing first one jan overall happy vapiano food tasty kid friendly simple pasta simpler appetites essentially self service restaurant going,second visit day sightse first one jan overal happi vapiano food tasti kid friendli simpl pasta simpler appetit essenti self servic restaur go,"['second', 'visit', 'day', 'sightseeing', 'first', 'one', 'jan', 'overall', 'happy', 'vapiano', 'food', 'tasty', 'kid', 'friendly', 'simple', 'pasta', 'simpler', 'appetites', 'essentially', 'self', 'service', 'restaurant', 'going']","['second', 'visit', 'day', 'sightsee', 'first', 'one', 'jan', 'overall', 'happy', 'vapiano', 'food', 'tasty', 'kid', 'friendly', 'simple', 'pasta', 'simpler', 'appetites', 'essentially', 'self', 'service', 'restaurant', 'go']"
50,7-Aug-19,NEUTRAL,Pre show lunch,called next bridge theatre going matinee performance concept explained us host must miserable person basically paid stand,call next bridg theatr go matine perform concept explain us host must miser person basic paid stand,"['called', 'next', 'bridge', 'theatre', 'going', 'matinee', 'performance', 'concept', 'explained', 'us', 'host', 'must', 'miserable', 'person', 'basically', 'paid', 'stand']","['call', 'next', 'bridge', 'theatre', 'go', 'matinee', 'performance', 'concept', 'explain', 'us', 'host', 'must', 'miserable', 'person', 'basically', 'pay', 'stand']"
51,4-Aug-19,VERY NEGATIVE,Chicken Cesar salad is terrible,friend ordered healthy chicken salad vapiano basically salad smothered sauce almost chicken mcdonald salad much better half pricemore,friend order healthi chicken salad vapiano basic salad smother sauc almost chicken mcdonald salad much better half pricemor,"['friend', 'ordered', 'healthy', 'chicken', 'salad', 'vapiano', 'basically', 'salad', 'smothered', 'sauce', 'almost', 'chicken', 'mcdonald', 'salad', 'much', 'better', 'half', 'pricemore']","['friend', 'order', 'healthy', 'chicken', 'salad', 'vapiano', 'basically', 'salad', 'smother', 'sauce', 'almost', 'chicken', 'mcdonald', 'salad', 'much', 'well', 'half', 'pricemore']"
52,21-Jul-19,VERY NEGATIVE,Poor,bbq chicken pizza menu bbq sauce collected started eating tomato sauce took back handed bbq sauce plastic ketchup bottle squirt poor attitude staff novel concept place badly executed,bbq chicken pizza menu bbq sauc collect start eat tomato sauc took back hand bbq sauc plastic ketchup bottl squirt poor attitud staff novel concept place badli execut,"['bbq', 'chicken', 'pizza', 'menu', 'bbq', 'sauce', 'collected', 'started', 'eating', 'tomato', 'sauce', 'took', 'back', 'handed', 'bbq', 'sauce', 'plastic', 'ketchup', 'bottle', 'squirt', 'poor', 'attitude', 'staff', 'novel', 'concept', 'place', 'badly', 'executed']","['bbq', 'chicken', 'pizza', 'menu', 'bbq', 'sauce', 'collect', 'start', 'eat', 'tomato', 'sauce', 'take', 'back', 'hand', 'bbq', 'sauce', 'plastic', 'ketchup', 'bottle', 'squirt', 'poor', 'attitude', 'staff', 'novel', 'concept', 'place', 'badly', 'execute']"
53,18-Jul-19,NEUTRAL,"Okay Food, poor operations and somewhat lacking customer service",love vapianos concept occasion execution points failed badly irksome queue someone order dishes invite people join queuing system needs reviewed food good main,love vapiano concept occas execut point fail badli irksom queue someon order dish invit peopl join queu system need review food good main,"['love', 'vapianos', 'concept', 'occasion', 'execution', 'points', 'failed', 'badly', 'irksome', 'queue', 'someone', 'order', 'dishes', 'invite', 'people', 'join', 'queuing', 'system', 'needs', 'reviewed', 'food', 'good', 'main']","['love', 'vapianos', 'concept', 'occasion', 'execution', 'point', 'fail', 'badly', 'irksome', 'queue', 'someone', 'order', 'dish', 'invite', 'people', 'join', 'queue', 'system', 'need', 'review', 'food', 'good', 'main']"
54,15-Jul-19,NEGATIVE,Greasy & stodgy,situated next bridge theatre visiting matinee performance decided try show different way dining explanation reception desk sorely lacking information queued food,situat next bridg theatr visit matine perform decid tri show differ way dine explan recept desk sore lack inform queu food,"['situated', 'next', 'bridge', 'theatre', 'visiting', 'matinee', 'performance', 'decided', 'try', 'show', 'different', 'way', 'dining', 'explanation', 'reception', 'desk', 'sorely', 'lacking', 'information', 'queued', 'food']","['situate', 'next', 'bridge', 'theatre', 'visit', 'matinee', 'performance', 'decide', 'try', 'show', 'different', 'way', 'din', 'explanation', 'reception', 'desk', 'sorely', 'lack', 'information', 'queue', 'food']"
55,15-Jul-19,NEGATIVE,"Nice food, weird concept",came without realising radical concept involved queue food cooked front want antipasti pasta drink means three queues busy night maddening one,came without realis radic concept involv queue food cook front want antipasti pasta drink mean three queue busi night madden one,"['came', 'without', 'realising', 'radical', 'concept', 'involved', 'queue', 'food', 'cooked', 'front', 'want', 'antipasti', 'pasta', 'drink', 'means', 'three', 'queues', 'busy', 'night', 'maddening', 'one']","['come', 'without', 'realise', 'radical', 'concept', 'involve', 'queue', 'food', 'cook', 'front', 'want', 'antipasti', 'pasta', 'drink', 'mean', 'three', 'queue', 'busy', 'night', 'madden', 'one']"
56,13-Jul-19,VERY POSITIVE,Great food and fantastic views of Tower Bridge,vapianos restaurant prepares pasta meals freshly right front also allows input like things may may want added food delicious affordable,vapiano restaur prepar pasta meal freshli right front also allow input like thing may may want ad food delici afford,"['vapianos', 'restaurant', 'prepares', 'pasta', 'meals', 'freshly', 'right', 'front', 'also', 'allows', 'input', 'like', 'things', 'may', 'may', 'want', 'added', 'food', 'delicious', 'affordable']","['vapianos', 'restaurant', 'prepares', 'pasta', 'meal', 'freshly', 'right', 'front', 'also', 'allow', 'input', 'like', 'thing', 'may', 'may', 'want', 'add', 'food', 'delicious', 'affordable']"
57,7-Jul-19,POSITIVE,Nice concept,concept ordering card seems nice since every check pasta amazing really good pizza bland lacked flavor,concept order card seem nice sinc everi check pasta amaz realli good pizza bland lack flavor,"['concept', 'ordering', 'card', 'seems', 'nice', 'since', 'every', 'check', 'pasta', 'amazing', 'really', 'good', 'pizza', 'bland', 'lacked', 'flavor']","['concept', 'order', 'card', 'seem', 'nice', 'since', 'every', 'check', 'pasta', 'amaze', 'really', 'good', 'pizza', 'bland', 'lack', 'flavor']"
58,16-Jun-19,VERY NEGATIVE,Service is terrible,service terrible waitress chat front us language waiting served surprised horrible services especially area,servic terribl waitress chat front us languag wait serv surpris horribl servic especi area,"['service', 'terrible', 'waitress', 'chat', 'front', 'us', 'language', 'waiting', 'served', 'surprised', 'horrible', 'services', 'especially', 'area']","['service', 'terrible', 'waitress', 'chat', 'front', 'us', 'language', 'wait', 'serve', 'surprised', 'horrible', 'service', 'especially', 'area']"
59,5-Jun-19,POSITIVE,Interesting way of ordering fresh Italian food,bright largely open plan restaurant get credit card menu enter food either pasta pizza salad go appropriate cooking station order food charged credit,bright larg open plan restaur get credit card menu enter food either pasta pizza salad go appropri cook station order food charg credit,"['bright', 'largely', 'open', 'plan', 'restaurant', 'get', 'credit', 'card', 'menu', 'enter', 'food', 'either', 'pasta', 'pizza', 'salad', 'go', 'appropriate', 'cooking', 'station', 'order', 'food', 'charged', 'credit']","['bright', 'largely', 'open', 'plan', 'restaurant', 'get', 'credit', 'card', 'menu', 'enter', 'food', 'either', 'pasta', 'pizza', 'salad', 'go', 'appropriate', 'cooking', 'station', 'order', 'food', 'charge', 'credit']"
60,2-Jun-19,VERY POSITIVE,Dinner,delicious dinner pastas comment anything else pleased see nice highchairs fitted tables never felt place staff great help finding said highchair,delici dinner pasta comment anyth els pleas see nice highchair fit tabl never felt place staff great help find said highchair,"['delicious', 'dinner', 'pastas', 'comment', 'anything', 'else', 'pleased', 'see', 'nice', 'highchairs', 'fitted', 'tables', 'never', 'felt', 'place', 'staff', 'great', 'help', 'finding', 'said', 'highchair']","['delicious', 'dinner', 'pastas', 'comment', 'anything', 'else', 'please', 'see', 'nice', 'highchair', 'fit', 'table', 'never', 'felt', 'place', 'staff', 'great', 'help', 'finding', 'say', 'highchair']"
61,2-Jun-19,VERY POSITIVE,Very impressed,thoroughly enjoyed experience vapiano tower bridge could fault food loved concept going chef ordering foid watching prepared atmosphere decor lovely,thoroughli enjoy experi vapiano tower bridg could fault food love concept go chef order foid watch prepar atmospher decor love,"['thoroughly', 'enjoyed', 'experience', 'vapiano', 'tower', 'bridge', 'could', 'fault', 'food', 'loved', 'concept', 'going', 'chef', 'ordering', 'foid', 'watching', 'prepared', 'atmosphere', 'decor', 'lovely']","['thoroughly', 'enjoy', 'experience', 'vapiano', 'tower', 'bridge', 'could', 'fault', 'food', 'love', 'concept', 'go', 'chef', 'order', 'foid', 'watching', 'prepare', 'atmosphere', 'decor', 'lovely']"
62,30-May-19,NEUTRAL,Expected more,friends raved vapiano colleague decided try whilst london business concept explained properly possibly first visit said made effort restaurant,friend rave vapiano colleagu decid tri whilst london busi concept explain properli possibl first visit said made effort restaur,"['friends', 'raved', 'vapiano', 'colleague', 'decided', 'try', 'whilst', 'london', 'business', 'concept', 'explained', 'properly', 'possibly', 'first', 'visit', 'said', 'made', 'effort', 'restaurant']","['friend', 'rave', 'vapiano', 'colleague', 'decide', 'try', 'whilst', 'london', 'business', 'concept', 'explain', 'properly', 'possibly', 'first', 'visit', 'say', 'make', 'effort', 'restaurant']"
63,20-May-19,VERY POSITIVE,Great find near Tower Bridge,stumbled visiting tower bridge really pleased love concept going chef ordering food collecting fast friendly service food amazing well restaurant light,stumbl visit tower bridg realli pleas love concept go chef order food collect fast friendli servic food amaz well restaur light,"['stumbled', 'visiting', 'tower', 'bridge', 'really', 'pleased', 'love', 'concept', 'going', 'chef', 'ordering', 'food', 'collecting', 'fast', 'friendly', 'service', 'food', 'amazing', 'well', 'restaurant', 'light']","['stumble', 'visit', 'tower', 'bridge', 'really', 'pleased', 'love', 'concept', 'go', 'chef', 'order', 'food', 'collect', 'fast', 'friendly', 'service', 'food', 'amaze', 'well', 'restaurant', 'light']"
64,11-May-19,NEUTRAL,"Great location, but not a friendly experience",spacious food factory glorious location tower bridge opposite tower pleasant approach potters field serves basic pasta risotto perfectly palatable portions generous wine reasonably priced good news ends,spaciou food factori gloriou locat tower bridg opposit tower pleasant approach potter field serv basic pasta risotto perfectli palat portion gener wine reason price good news end,"['spacious', 'food', 'factory', 'glorious', 'location', 'tower', 'bridge', 'opposite', 'tower', 'pleasant', 'approach', 'potters', 'field', 'serves', 'basic', 'pasta', 'risotto', 'perfectly', 'palatable', 'portions', 'generous', 'wine', 'reasonably', 'priced', 'good', 'news', 'ends']","['spacious', 'food', 'factory', 'glorious', 'location', 'tower', 'bridge', 'opposite', 'tower', 'pleasant', 'approach', 'potter', 'field', 'serve', 'basic', 'pasta', 'risotto', 'perfectly', 'palatable', 'portion', 'generous', 'wine', 'reasonably', 'price', 'good', 'news', 'end']"
65,8-May-19,VERY POSITIVE,Love this place,watching food cooked fresh experienced friendly chefs great experience,watch food cook fresh experienc friendli chef great experi,"['watching', 'food', 'cooked', 'fresh', 'experienced', 'friendly', 'chefs', 'great', 'experience']","['watch', 'food', 'cook', 'fresh', 'experience', 'friendly', 'chefs', 'great', 'experience']"
66,17-Apr-19,VERY POSITIVE,Great Pizzas & Pasta,visited following show bridge theatre great welcome entering restaurant dinning two levels great views tower bridge lite food tasty atmosphere excellent good staff,visit follow show bridg theatr great welcom enter restaur din two level great view tower bridg lite food tasti atmospher excel good staff,"['visited', 'following', 'show', 'bridge', 'theatre', 'great', 'welcome', 'entering', 'restaurant', 'dinning', 'two', 'levels', 'great', 'views', 'tower', 'bridge', 'lite', 'food', 'tasty', 'atmosphere', 'excellent', 'good', 'staff']","['visit', 'follow', 'show', 'bridge', 'theatre', 'great', 'welcome', 'enter', 'restaurant', 'din', 'two', 'level', 'great', 'view', 'tower', 'bridge', 'lite', 'food', 'tasty', 'atmosphere', 'excellent', 'good', 'staff']"
67,12-Apr-19,VERY NEGATIVE,slow and average food,concept dated much queuing cooking slow food average much better waste lunch time,concept date much queu cook slow food averag much better wast lunch time,"['concept', 'dated', 'much', 'queuing', 'cooking', 'slow', 'food', 'average', 'much', 'better', 'waste', 'lunch', 'time']","['concept', 'date', 'much', 'queue', 'cook', 'slow', 'food', 'average', 'much', 'good', 'waste', 'lunch', 'time']"
68,1-Apr-19,NEUTRAL,Really just a Fast Food place…whatever else you think it is or it pretends to be,problem queuing get food fast food places like sense place pretending something else yes costs less employ waiting staff may reflect price,problem queu get food fast food place like sens place pretend someth els ye cost less employ wait staff may reflect price,"['problem', 'queuing', 'get', 'food', 'fast', 'food', 'places', 'like', 'sense', 'place', 'pretending', 'something', 'else', 'yes', 'costs', 'less', 'employ', 'waiting', 'staff', 'may', 'reflect', 'price']","['problem', 'queue', 'get', 'food', 'fast', 'food', 'place', 'like', 'sense', 'place', 'pretend', 'something', 'else', 'yes', 'cost', 'less', 'employ', 'wait', 'staff', 'may', 'reflect', 'price']"
69,31-Mar-19,POSITIVE,Excellent Value for Money Self-Service Restaurant,three decent mains deserts plus bottle wine heart tourist london like one improvement could easily make would install chilled water fountains save customers go bar,three decent main desert plu bottl wine heart tourist london like one improv could easili make would instal chill water fountain save custom go bar,"['three', 'decent', 'mains', 'deserts', 'plus', 'bottle', 'wine', 'heart', 'tourist', 'london', 'like', 'one', 'improvement', 'could', 'easily', 'make', 'would', 'install', 'chilled', 'water', 'fountains', 'save', 'customers', 'go', 'bar']","['three', 'decent', 'main', 'desert', 'plus', 'bottle', 'wine', 'heart', 'tourist', 'london', 'like', 'one', 'improvement', 'could', 'easily', 'make', 'would', 'install', 'chilled', 'water', 'fountain', 'save', 'customer', 'go', 'bar']"
